qry_id	len
MSTRG.30.1	213
MSTRG.18.1	475
MSTRG.37.1	670
MSTRG.22.1	670
MSTRG.3.1	1164
MSTRG.16.1	303
MSTRG.30.2	205
MSTRG.75.1	222
MSTRG.71.1	422
MSTRG.64.1	318
MSTRG.42.2	438
MSTRG.43.2	223
MSTRG.73.1	631
MSTRG.64.2	226
MSTRG.61.1	463
MSTRG.49.2	252
MSTRG.49.1	252
MSTRG.41.1	246
MSTRG.45.1	254
MSTRG.74.1	222
MSTRG.128.1	418
MSTRG.105.2	1208
MSTRG.142.1	817
MSTRG.93.2	556
MSTRG.195.5	282
MSTRG.195.1	916
MSTRG.188.1	811
MSTRG.195.4	546
MSTRG.196.1	464
MSTRG.195.3	411
MSTRG.195.2	441
MSTRG.189.1	1026
MSTRG.236.11	1146
MSTRG.242.2	810
MSTRG.226.1	295
MSTRG.290.2	434
MSTRG.282.17	434
MSTRG.286.3	1396
MSTRG.282.18	275
MSTRG.291.2	520
MSTRG.276.1	438
MSTRG.278.3	527
MSTRG.205.1	431
MSTRG.291.1	539
MSTRG.288.1	432
MSTRG.287.1	277
MSTRG.285.4	1625
MSTRG.290.1	1297
MSTRG.227.1	539
MSTRG.203.1	227
MSTRG.278.2	673
MSTRG.344.1	332
MSTRG.368.1	267
MSTRG.461.1	457
MSTRG.451.1	275
MSTRG.448.1	321
MSTRG.415.1	316
MSTRG.431.1	659
MSTRG.423.3	1971
MSTRG.331.2	381
MSTRG.400.1	541
MSTRG.426.1	347
MSTRG.430.1	322
MSTRG.373.1	337
MSTRG.524.1	490
MSTRG.503.11	901
MSTRG.498.1	356
MSTRG.593.1	367
MSTRG.550.2	240
MSTRG.550.1	201
MSTRG.493.1	827
MSTRG.487.2	670
MSTRG.503.9	1882
MSTRG.553.1	431
MSTRG.594.1	464
MSTRG.488.2	1178
MSTRG.583.2	478
MSTRG.553.2	600
MSTRG.538.1	681
MSTRG.537.2	389
MSTRG.566.1	397
MSTRG.580.1	331
MSTRG.534.1	210
MSTRG.495.1	739
MSTRG.535.1	350
MSTRG.503.7	1210
MSTRG.529.1	237
MSTRG.534.2	345
MSTRG.551.1	529
MSTRG.601.1	1450
MSTRG.502.1	282
MSTRG.503.8	997
MSTRG.503.5	1107
MSTRG.571.2	474
MSTRG.583.1	520
MSTRG.537.1	661
MSTRG.531.1	528
MSTRG.622.1	609
MSTRG.528.1	529
MSTRG.676.1	645
MSTRG.670.1	416
MSTRG.739.4	224
MSTRG.800.1	327
MSTRG.837.1	473
MSTRG.721.2	536
MSTRG.720.4	988
MSTRG.786.1	1401
MSTRG.796.1	403
MSTRG.739.3	462
MSTRG.848.1	776
MSTRG.739.1	619
MSTRG.688.2	665
MSTRG.705.1	602
MSTRG.720.5	749
MSTRG.739.5	248
MSTRG.708.1	218
MSTRG.709.1	212
MSTRG.721.1	791
