isBest	lncRNA_gene	lncRNA_transcript	partnerRNA_gene	partnerRNA_transcript	direction	type	distance	subtype	location
1	MSTRG.25906	MSTRG.25906.1	g9618	g9618.t1	sense	intergenic	16803	same_strand	downstream
1	MSTRG.59219	MSTRG.59219.15	g21189	g21189.t1	sense	intergenic	3674	same_strand	downstream
0	MSTRG.59219	MSTRG.59219.15	g21190	g21190.t1	antisense	intergenic	4855	convergent	downstream
0	MSTRG.59219	MSTRG.59219.15	g21191	g21191.t1	sense	intergenic	9568	same_strand	upstream
1	MSTRG.63207	MSTRG.63207.1	g22623	g22623.t1	sense	intergenic	37888	same_strand	upstream
1	MSTRG.36136	MSTRG.36136.1	g13196	g13196.t1	antisense	genic	0	nested	intronic
0	MSTRG.36136	MSTRG.36136.1	g13195	g13195.t1	sense	intergenic	5059	same_strand	downstream
0	MSTRG.36136	MSTRG.36136.1	g13196	g13196.t2	antisense	genic	0	nested	intronic
1	MSTRG.6916	MSTRG.6916.1	g2449	g2449.t2	antisense	intergenic	35496	convergent	downstream
1	MSTRG.28124	MSTRG.28124.6	g10419	g10419.t2	sense	genic	0	nested	intronic
1	MSTRG.9939	MSTRG.9939.1	g3470	g3470.t1	antisense	intergenic	11828	convergent	downstream
1	MSTRG.5808	MSTRG.5808.3	g2108	g2108.t2	sense	intergenic	462	same_strand	upstream
0	MSTRG.5808	MSTRG.5808.3	g2108	g2108.t1	sense	intergenic	1316	same_strand	upstream
0	MSTRG.5808	MSTRG.5808.3	g2106	g2106.t1	antisense	intergenic	9176	convergent	downstream
0	MSTRG.5808	MSTRG.5808.3	g2107	g2107.t1	antisense	intergenic	8424	convergent	downstream
0	MSTRG.5808	MSTRG.5808.3	g2110	g2110.t1	antisense	intergenic	8027	divergent	upstream
0	MSTRG.5808	MSTRG.5808.3	g2109	g2109.t1	antisense	intergenic	2770	divergent	upstream
0	MSTRG.5808	MSTRG.5808.3	g2110	g2110.t2	antisense	intergenic	8024	divergent	upstream
0	MSTRG.5808	MSTRG.5808.3	g2111	g2111.t1	antisense	intergenic	9489	divergent	upstream
1	MSTRG.36977	MSTRG.36977.6	g13453	g13453.t1	antisense	intergenic	35694	divergent	upstream
1	MSTRG.19912	MSTRG.19912.1	g7612	g7612.t1	antisense	intergenic	2834	divergent	upstream
0	MSTRG.19912	MSTRG.19912.1	g7613	g7613.t1	antisense	intergenic	7710	divergent	upstream
1	MSTRG.63435	MSTRG.63435.2	g22720	g22720.t2	antisense	genic	0	nested	intronic
0	MSTRG.63435	MSTRG.63435.2	g22719	g22719.t1	sense	intergenic	5451	same_strand	upstream
0	MSTRG.63435	MSTRG.63435.2	g22720	g22720.t1	antisense	genic	0	nested	intronic
1	MSTRG.41471	MSTRG.41471.3	g15033	g15033.t1	antisense	intergenic	6667	convergent	downstream
1	MSTRG.42295	MSTRG.42295.1	g15210	g15210.t1	sense	intergenic	18719	same_strand	upstream
1	MSTRG.23675	MSTRG.23675.1	g8755	g8755.t1	antisense	genic	0	containing	intronic
0	MSTRG.23675	MSTRG.23675.1	g8757	g8757.t1	sense	intergenic	4425	same_strand	upstream
0	MSTRG.23675	MSTRG.23675.1	g8756	g8756.t1	antisense	genic	0	overlapping	intronic
1	MSTRG.721	MSTRG.721.1	g275	g275.t1	sense	intergenic	728	same_strand	downstream
0	MSTRG.721	MSTRG.721.1	g276	g276.t1	antisense	intergenic	932	convergent	downstream
1	MSTRG.44399	MSTRG.44399.2	g15976	g15976.t2	sense	intergenic	8110	same_strand	downstream
0	MSTRG.44399	MSTRG.44399.2	g15976	g15976.t1	sense	intergenic	8110	same_strand	downstream
1	MSTRG.14795	MSTRG.14795.1	g5630	g5630.t1	antisense	intergenic	2088	convergent	downstream
0	MSTRG.14795	MSTRG.14795.1	g5631	g5631.t1	antisense	intergenic	2771	divergent	upstream
0	MSTRG.14795	MSTRG.14795.1	g5629	g5629.t1	antisense	intergenic	6326	convergent	downstream
1	MSTRG.25507	MSTRG.25507.1	g9484	g9484.t1	antisense	intergenic	4232	convergent	downstream
1	MSTRG.5672	MSTRG.5672.1	g2054	g2054.t1	sense	intergenic	2362	same_strand	upstream
1	MSTRG.22433	MSTRG.22433.1	g8285	g8285.t1	antisense	intergenic	61224	divergent	upstream
0	MSTRG.22433	MSTRG.22433.1	g8286	g8286.t2	sense	intergenic	65178	same_strand	downstream
0	MSTRG.22433	MSTRG.22433.1	g8286	g8286.t1	sense	intergenic	65178	same_strand	downstream
1	MSTRG.8674	MSTRG.8674.2	g3110	g3110.t1	antisense	intergenic	14527	convergent	downstream
